Date,USD_Price,BTC_High,ETH_High,Gold_USD,SPX_High
2016-05-09,94.13,462.480988,12.0,"1,265.3",2064.149902
2016-05-10,94.29,461.928986,9.98,"1,262.8",2084.870117
2016-05-11,93.82,454.575989,10.47,"1,276.9",2083.290039
2016-05-12,94.15,454.949005,12.0,"1,279.3",2073.98999
2016-05-13,94.61,457.054993,11.59,"1,265.9",2066.790039
2016-05-14,94.61,456.835999,10.98,"1,265.9",2066.790039
2016-05-15,94.61,458.691986,10.59,"1,265.9",2066.790039
2016-05-16,94.57,458.200012,11.41,"1,285.8",2071.879883
2016-05-17,94.55,455.071991,12.49,"1,277.0",2065.689941
2016-05-18,95.08,455.997986,14.0,"1,272.9",2060.610107
2016-05-19,95.29,454.632996,14.5,"1,246.3",2044.209961
2016-05-20,95.33,444.053986,14.77,"1,254.2",2058.350098
2016-05-21,95.33,443.778015,13.98,"1,254.2",2058.350098
2016-05-22,95.33,443.427002,14.45,"1,254.2",2058.350098
2016-05-23,95.23,444.345001,14.43,"1,245.9",2055.580078
2016-05-24,95.57,447.100006,13.79,"1,236.9",2079.669922
2016-05-25,95.35,450.298004,12.89,"1,220.6",2094.72998
2016-05-26,95.17,453.644012,12.9,"1,223.9",2094.300049
2016-05-27,95.52,478.148987,12.61,"1,216.3",2099.060059
2016-05-28,95.52,533.473022,12.27,"1,216.3",2099.060059
2016-05-29,95.52,553.960022,12.73,"1,216.3",2099.060059
2016-05-30,95.52,544.348999,12.79,"1,216.3",2099.060059
2016-05-31,95.89,546.617981,14.35,"1,212.1",2103.47998
2016-06-01,95.45,543.080017,14.35,"1,214.5",2100.969971
2016-06-02,95.56,540.35199,14.13,"1,212.4",2105.26001
2016-06-03,94.03,574.638,16.05,"1,240.5",2104.070068
2016-06-04,94.03,590.132019,14.16,"1,240.5",2104.070068
2016-06-05,94.03,582.807983,13.92,"1,240.5",2104.070068
2016-06-06,93.9,586.469971,14.4,"1,244.0",2113.360107
2016-06-07,93.83,590.258972,14.64,"1,241.0",2119.219971
2016-06-08,93.59,582.838989,14.73,"1,263.0",2120.550049
2016-06-09,93.95,582.203003,14.55,"1,263.9",2117.639893
2016-06-10,94.57,579.127014,14.47,"1,275.5",2109.570068
2016-06-11,94.57,607.116028,14.16,"1,275.5",2109.570068
2016-06-12,94.57,684.843994,15.75,"1,275.5",2109.570068
2016-06-13,94.36,716.004028,17.64,"1,280.8",2098.120117
2016-06-14,94.93,704.504028,19.07,"1,287.2",2081.300049
2016-06-15,94.61,696.302979,19.06,"1,283.3",2085.649902
2016-06-16,94.57,773.721985,25.05,"1,310.8",2079.620117
2016-06-17,94.21,775.356018,21.44,"1,290.7",2078.199951
2016-06-18,94.21,777.98999,15.67,"1,290.7",2078.199951
2016-06-19,94.21,766.620972,15.55,"1,290.7",2078.199951
2016-06-20,93.61,764.083984,12.6,"1,281.8",2100.659912
2016-06-21,94.02,735.882996,12.97,"1,272.6",2093.659912
2016-06-22,93.72,678.669983,15.75,"1,264.9",2099.709961
2016-06-23,93.53,629.327026,14.79,"1,262.2",2113.320068
2016-06-24,95.45,681.72699,14.35,"1,315.5",2103.810059
2016-06-25,95.45,691.731018,14.8,"1,315.5",2103.810059
2016-06-26,95.45,665.97998,14.51,"1,315.5",2103.810059
2016-06-27,96.54,655.275024,15.72,"1,324.6",2031.449951
2016-06-28,96.25,659.247986,15.29,"1,309.7",2036.089966
2016-06-29,95.77,644.682007,13.0,"1,321.5",2073.129883
2016-06-30,96.14,675.403015,12.95,"1,320.8",2098.939941
2016-07-01,95.65,686.153992,12.5,"1,340.0",2108.709961
2016-07-02,95.65,703.702026,12.26,"1,340.0",2108.709961
2016-07-03,95.65,704.968018,12.37,"1,340.0",2108.709961
2016-07-04,95.65,683.661987,11.89,"1,350.8",2108.709961
2016-07-05,96.17,683.491028,11.99,"1,350.8",2095.050049
2016-07-06,96.05,681.89801,11.9,"1,366.3",2100.719971
2016-07-07,96.33,682.432007,11.0,"1,356.7",2109.080078
2016-07-08,96.3,666.70697,11.88,"1,354.3",2131.709961
2016-07-09,96.3,666.383972,11.88,"1,354.3",2131.709961
2016-07-10,96.3,652.294006,11.2,"1,354.3",2131.709961
2016-07-11,96.57,659.629028,11.13,"1,357.1",2143.159912
2016-07-12,96.44,675.258972,11.35,"1,342.4",2155.399902
2016-07-13,96.22,668.700012,11.3,"1,342.8",2156.449951
2016-07-14,96.08,662.901978,11.71,"1,323.6",2168.98999
2016-07-15,96.58,667.077026,12.98,"1,327.0",2169.050049
2016-07-16,96.58,666.460022,12.21,"1,327.0",2169.050049
2016-07-17,96.58,682.36499,11.8,"1,327.0",2169.050049
2016-07-18,96.56,681.554993,11.79,"1,334.7",2168.350098
2016-07-19,97.06,673.276978,13.47,"1,330.9",2164.629883
2016-07-20,97.2,672.929016,14.0,"1,315.9",2175.629883
2016-07-21,97.0,666.218994,13.1,"1,321.2",2174.560059
2016-07-22,97.47,666.583008,14.82,"1,320.8",2175.110107
2016-07-23,97.47,656.366028,15.72,"1,320.8",2175.110107
2016-07-24,97.47,663.109985,15.0,"1,320.8",2175.110107
2016-07-25,97.29,661.828003,13.75,"1,313.2",2173.709961
2016-07-26,97.16,656.224976,14.15,"1,323.0",2173.540039
2016-07-27,97.05,657.455994,13.45,"1,329.0",2174.97998
2016-07-28,96.74,657.594971,13.34,"1,341.8",2172.850098
2016-07-29,95.53,657.796021,13.29,"1,342.0",2177.090088
2016-07-30,95.53,658.223022,13.1,"1,342.0",2177.090088
2016-07-31,95.53,655.284973,12.75,"1,342.0",2177.090088
2016-08-01,95.71,626.119019,11.91,"1,349.7",2178.290039
2016-08-02,95.06,612.848022,11.24,"1,363.8",2170.199951
2016-08-03,95.56,573.359985,10.49,"1,358.9",2163.790039
2016-08-04,95.76,579.495972,12.49,"1,362.8",2168.189941
2016-08-05,96.19,578.281006,11.64,"1,340.4",2182.870117
2016-08-06,96.19,588.395996,11.42,"1,340.4",2182.870117
2016-08-07,96.19,597.513,11.21,"1,340.4",2182.870117
2016-08-08,96.4,592.994019,11.5,"1,336.8",2185.439941
2016-08-09,96.18,591.091003,12.5,"1,341.0",2187.659912
2016-08-10,95.65,599.984009,12.68,"1,347.7",2183.409912
2016-08-11,95.86,597.541992,12.46,"1,355.0",2188.449951
2016-08-12,95.72,589.909973,12.12,"1,352.2",2186.280029
2016-08-13,95.72,589.773987,11.95,"1,352.2",2186.280029
2016-08-14,95.72,585.666016,11.76,"1,352.2",2186.280029
2016-08-15,95.63,573.580017,11.51,"1,339.4",2193.810059
2016-08-16,94.79,581.737976,11.38,"1,344.0",2186.23999
2016-08-17,94.72,580.893982,11.34,"1,343.4",2183.080078
2016-08-18,94.16,577.791992,11.74,"1,350.1",2187.030029
2016-08-19,94.51,578.237976,11.0,"1,346.4",2185.0
2016-08-20,94.51,582.817993,11.48,"1,346.4",2185.0
2016-08-21,94.51,584.15802,11.28,"1,346.4",2185.0
2016-08-22,94.52,588.447998,11.5,"1,335.9",2185.149902
2016-08-23,94.54,589.473999,11.41,"1,342.0",2193.419922
2016-08-24,94.79,583.590027,11.35,"1,327.3",2186.659912
2016-08-25,94.77,580.450989,11.35,"1,321.3",2179.0
2016-08-26,95.57,580.622986,11.49,"1,318.8",2187.939941
2016-08-27,95.57,579.844971,11.44,"1,318.8",2187.939941
2016-08-28,95.57,574.038025,11.3,"1,318.8",2187.939941
2016-08-29,95.58,576.278015,11.24,"1,318.8",2183.47998
2016-08-30,96.05,578.356995,11.3,"1,318.2",2182.27002
2016-08-31,96.02,577.861023,13.5,"1,309.3",2173.790039
2016-09-01,95.65,576.310974,13.5,"1,309.5",2173.560059
2016-09-02,95.84,575.643005,12.43,"1,324.7",2184.870117
2016-09-03,95.84,599.5,12.51,"1,324.7",2184.870117
2016-09-04,95.84,611.836975,12.09,"1,324.7",2184.870117
2016-09-05,95.84,609.054993,12.0,"1,326.4",2184.870117
2016-09-06,94.82,610.830017,12.0,"1,337.3",2186.570068
2016-09-07,94.96,614.544983,11.99,"1,348.4",2187.870117
2016-09-08,95.03,628.77002,11.78,"1,343.4",2184.939941
2016-09-09,95.34,626.830017,11.74,"1,330.9",2169.080078
2016-09-10,95.34,625.094971,12.0,"1,330.9",2169.080078
2016-09-11,95.34,628.817993,12.05,"1,330.9",2169.080078
2016-09-12,95.09,608.458984,11.92,"1,324.6",2163.300049
2016-09-13,95.63,611.192993,12.16,"1,323.7",2150.469971
2016-09-14,95.33,611.952026,12.02,"1,321.8",2141.330078
2016-09-15,95.29,611.085999,12.02,"1,310.8",2151.310059
2016-09-16,96.11,609.260986,12.75,"1,308.4",2146.47998
2016-09-17,96.11,607.859985,12.8,"1,308.4",2146.47998
2016-09-18,96.11,610.15802,12.91,"1,308.4",2146.47998
2016-09-19,95.84,610.932007,13.09,"1,314.9",2153.610107
2016-09-20,96.02,609.525024,14.45,"1,313.8",2150.800049
2016-09-21,95.66,603.588013,14.45,"1,326.1",2165.110107
2016-09-22,95.45,598.487,14.02,"1,339.1",2179.98999
2016-09-23,95.48,603.205017,13.59,"1,338.7",2173.75
2016-09-24,95.48,604.580017,13.52,"1,338.7",2173.75
2016-09-25,95.48,603.380981,13.11,"1,338.7",2173.75
2016-09-26,95.3,608.143005,13.16,"1,340.5",2158.540039
2016-09-27,95.44,608.247986,13.71,"1,327.0",2161.129883
2016-09-28,95.43,606.590027,13.68,"1,322.5",2172.399902
2016-09-29,95.53,606.823975,13.38,"1,318.1",2172.669922
2016-09-30,95.46,609.734985,13.44,"1,322.5",2175.300049
2016-10-01,95.46,615.237,13.41,"1,322.5",2175.300049
2016-10-02,95.46,614.005005,13.3,"1,322.5",2175.300049
2016-10-03,95.69,612.567993,13.51,"1,313.3",2164.409912
2016-10-04,96.17,612.054016,13.61,"1,283.3",2165.459961
2016-10-05,96.12,613.814026,13.7,"1,269.4",2163.949951
2016-10-06,96.77,613.81897,13.42,"1,254.5",2162.929932
2016-10-07,96.63,617.911987,13.49,"1,258.8",2165.860107
2016-10-08,96.63,619.848999,12.82,"1,258.8",2165.860107
2016-10-09,96.63,619.197998,12.7,"1,258.8",2165.860107
2016-10-10,96.93,621.317993,12.33,"1,259.5",2169.600098
2016-10-11,97.69,642.080017,12.22,"1,253.5",2161.560059
2016-10-12,97.97,641.336975,12.0,"1,256.5",2145.360107
2016-10-13,97.52,638.833008,12.19,"1,261.1",2138.189941
2016-10-14,98.02,641.284973,12.15,"1,251.8",2149.189941
2016-10-15,98.02,642.10199,12.02,"1,251.8",2149.189941
2016-10-16,98.02,642.89801,12.04,"1,251.8",2149.189941
2016-10-17,97.89,642.328003,12.0,"1,254.8",2135.610107
2016-10-18,97.89,640.736023,12.96,"1,258.2",2144.379883
2016-10-19,97.92,638.874023,12.96,"1,269.1",2148.439941
2016-10-20,98.31,631.916992,12.18,"1,271.7",2147.179932
2016-10-21,98.69,634.093994,12.08,"1,266.1",2142.629883
2016-10-22,98.69,658.197021,12.08,"1,266.1",2142.629883
2016-10-23,98.69,661.129028,12.08,"1,266.1",2142.629883
2016-10-24,98.76,657.252014,12.05,"1,265.6",2154.790039
2016-10-25,98.72,664.424011,12.2,"1,269.4",2151.439941
2016-10-26,98.63,679.728027,11.87,"1,270.5",2145.72998
2016-10-27,98.89,688.593994,11.58,"1,266.3",2147.129883
2016-10-28,98.35,690.44397,11.43,"1,273.0",2140.719971
2016-10-29,98.35,720.401978,11.56,"1,273.0",2140.719971
2016-10-30,98.35,714.117981,11.43,"1,273.0",2140.719971
2016-10-31,98.44,709.289001,11.56,"1,272.0",2133.25
2016-11-01,97.7,736.452026,11.47,"1,288.5",2131.449951
